ID;Distrito;Cidade/confirmada/UPA - SÓ TEM SP, NAO PODERÍAMOS TIRAR?;Relacao com UPA;Reside/UPA;Area/total hectares;Soma/area/total/propriedades/HA;Area/cultivada/inform/HA;Area/pastagem/HA;Area/veget/inform/HA;Comercializ/folhosas/hortalicas;Comercializ/raizes;Comercializ/frutas;Comercializ/legumes/graos;Comercializ/ornamentais;Comercializ/ervas/medicinais;Comercializ/mudas;Comercializ/outros;Culturas comercializadas;Especies/animais/produzidas;Comercializ/bovinos/corte;Comercializ/bovinos/leite;Comercializ/galinhas/frangos;Comercializ/patos;Comercializ/suinos;Comercializ/caprinos/corte/leite;Comercializ/cavalos;Comercializ/ovos;Comercializ/abelhas/mel;Comercializ/peixes;Comercializ/outras/especies/criadas;Comercializ/cliente/final;Comercializ/interm;Comercializ/quitandas/minimercados;Comercializ/restaur;Comercializ/supermerc;Comercializ/feiras;Comercializ/com/entrega;Comercializ/eventos;Comercializ/CEAGESP;Comercializ/entidades/sociais;Comercializ/poder/publico;Frequencia comercializacao via propriedade;Frequencia comercializacao via intermediario;Frequencia comercializacao via quitandas minimercados;Frequencia comercializacao via restaurantes;Frequencia comercializacao via supermercados;Frequencia comercializacao via feiras livres;Frequencia comercializacao via entrega;Frequencia comercializacao via eventos;Frequencia comercializacao via CEAGESP;Frequencia comercializacao via entidades sociais;Frequencia comercializacao via poder publico;Comercializ/regiao;Comercializ/outras/regioes/cid;Comercializ/outra/cid/15km;Comercializ/outra/cid;Transp/prop/distrib/prod;Embal/distrib/prod;Controle de pragas;Sexo;Faixa/etaria;Grau/instru;Renda/familiar/mensal;Faixa Renda média;Internet/freq;Possui/celular;Dificuldades/prod/classificacao1 - DIFICULDADES NO DIA A DIA PARA A PRODUÇÃO;Melhor/condicoes/trab/rendimento/classificacão1 - O QUE PRECISA PARA MELHORAR SUAS CONDIÇÕES DE TRABALHO
364;Grajau;Sao Paulo;Funcionario;Nao;0,36;Nao se aplica;0,01;Nao tem;Nao tem;Nao;Nao se aplica;Nao;Nao se aplica;Nao se aplica;Nao;Nao se aplica;Nao se aplica;Nao comercializa;Sem producao animal;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao sabe/Nao respondeu;Nao sabe/Nao respondeu;Nao sabe/Nao respondeu;Nao sabe/Nao respondeu;Nao sabe/Nao respondeu;Nao sabe/Nao respondeu;Nao sabe/Nao respondeu;Nao sabe/Nao respondeu;Nao sabe/Nao respondeu;Nao sabe/Nao respondeu;Nao sabe/Nao respondeu;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao sabe/Nao respondeu;Nao sabe/Nao respondeu;Nao sabe/Nao respondeu;Nao;Nao;Nao;Nao realiza;Masculino;35 a 44 anos;Ensino Medio Completo;Nao sabe/Nao respondeu;Nao se aplica;Todos os dias ou quase todos os dias;Sim;Falta de Assistencia Tecnica;Outros (incentivo e divulgacao de turismo rural, analise do solo, cessao de terras para o plantio, mais organizacao da cooperativa, combate as pragas, mais terra)
365;Grajau;Sao Paulo;Proprietario;Nao;0,11;Nao se aplica;0,1;Nao tem;Nao tem;Nao;Nao;Nao;Nao;Nao;Nao;Nao se aplica;Nao se aplica;Nao comercializa;Sem producao animal;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao;Nao;Nao;Nao;Nao;Nao;Nao;Nao;Nao;Nao;Nao;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao;Nao;Nao;Nao;Nao;Nao;Nao realiza;Feminino;60 anos ou mais;Fundamental I Completo;1497;Nao se aplica;Nao sabe/Nao respondeu;Sim;Problemas de saude, idade;Mao de obra, mais produtividades
366;Grajau;Sao Paulo;Proprietario;Sim;1,26;Nao se aplica;0,6;Nao tem;0,1;Nao;Nao;Nao;Nao;Nao;Nao;Nao;Nao se aplica;Nao comercializa;Galinha, ovos, peixes;Nao se aplica;Nao se aplica;Sim;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Sim;Nao se aplica;Nao;Nao se aplica;Sim;Nao;Nao;Nao;Nao;Nao;Nao;Nao;Nao;Nao;Nao;Mais ou menos uma vez a cada tres meses;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Sim;Nao;Nao;Nao;Nao;Sim;Nao realiza;Masculino;45 a 59 anos;Ensino Medio Incompleto;2495;Nao se aplica;Todos os dias ou quase todos os dias;Sim;Outros (seguranca, terra e ruim, precos baixos dos produtos agricolas, pragas (formigas), falta espaco para crescer, rigor da legislacao ambiental;Mais maquinarios agricolas, caminhao e trator
367;Marsilac;Sao Paulo;Arrendatario;Sim;2;Nao se aplica;1;Nao tem;1;Nao se aplica;Sim;Nao;Sim;Nao se aplica;Nao se aplica;Nao;Nao se aplica;Raizes, legumes e graos;Sem producao animal;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Sim;Nao;Sim;Nao;Nao;Nao;Nao;Nao;Sim;Nao;Nao;Toda semana ou quase toda semana;Nao se aplica;Toda semana ou quase toda semana;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Toda semana ou quase toda semana;Nao se aplica;Nao se aplica;Sim;Nao;Sim;Nao;Nao;Sim;Agroquimicos;Masculino;45 a 59 anos;Ensino Medio Incompleto;3996,5;Nao se aplica;Todos os dias ou quase todos os dias;Sim;Falta de Assistencia Tecnica;Canais de comercializacao (visibilizar regiao, producao, produtores), ter clientes
368;Grajau;Sao Paulo;Proprietario;Sim;2;Nao se aplica;0,2;Nao tem;Nao tem;Nao;Nao;Nao;Nao se aplica;Sim;Nao;Nao se aplica;Nao se aplica;Ornamentais;Galinha, patos, ovos;Nao se aplica;Nao se aplica;Nao;Nao;Nao se aplica;Nao se aplica;Nao se aplica;Sim;Nao se aplica;Nao se aplica;Nao se aplica;Sim;Nao;Nao;Nao;Nao;Nao;Nao;Nao;Nao;Nao;Nao;Pelo menos uma vez por mes;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Sim;Nao;Nao;Nao;Nao;Nao;Nao realiza;Masculino;45 a 59 anos;Ensino Medio Completo;998;Nao se aplica;Nao sabe/Nao respondeu;Sim;Faltam canais de comercializacao;Canais de comercializacao (visibilizar regiao, producao, produtores), ter clientes
369;Grajau;Sao Paulo;Arrendatario;Nao;0,08;Nao se aplica;Nao tem;0,04;Nao tem;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao comercializa;Galinha, patos, cavalos, ovos;Nao se aplica;Nao se aplica;Sim;Nao;Nao se aplica;Nao se aplica;Sim;Nao;Nao se aplica;Nao se aplica;Nao se aplica;Sim;Nao;Nao;Nao;Nao;Nao;Nao;Nao;Nao;Nao;Nao;Pelo menos uma vez por mes;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Sim;Sim;Nao;Nao;Nao;Nao;Nao realiza;Masculino;45 a 59 anos;Ate Fundamental I Incompleto;2495;Nao se aplica;Nao sabe/Nao respondeu;Sim;Problemas com infraestrutura, logistica de escoamento da producao;Recursos e financiamento a juros baixos, facilitado, credito mais facil, mais investimentos publicos e mais subsidios (menos burocracia, menos impostos)
370;Grajau;Sao Paulo;Proprietario;Sim;0,01;Nao se aplica;0,01;Nao tem;Nao tem;Nao;Nao;Nao;Sim;Nao;Nao;Sim;Nao se aplica;Legumes e graos;Galinha, patos;Nao se aplica;Nao se aplica;Sim;Nao;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Sim;Nao;Nao;Nao;Nao;Nao;Nao;Nao;Nao;Nao;Nao;Uma vez a cada 6 meses;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Sim;Nao;Nao;Nao;Nao;Nao;Utiliza, mas nao especificou;Feminino;45 a 59 anos;Ate Fundamental I Incompleto;Nao sabe/Nao respondeu;Nao se aplica;Pelo menos uma vez por semana;Sim;Falta de tempo, falta de coragem/ vontade;Mais terra para plantar
371;Grajau;Sao Paulo;Arrendatario;Sim;Nao sabe;Nao se aplica;Nao tem;Nao tem;Nao tem;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao comercializa;Galinha, ovos;Nao se aplica;Nao se aplica;Sim;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Sim;Nao se aplica;Nao se aplica;Nao se aplica;Sim;Nao;Nao;Nao;Nao;Nao;Nao;Nao;Nao;Nao;Nao;Menos de duas vezes por ano;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Sim;Nao;Nao;Nao;Nao;Nao;Nao realiza;Feminino;60 anos ou mais;Ate Fundamental I Incompleto;Nao sabe/Nao respondeu;Nao sabe/Nao respondeu;Nao sabe/Nao respondeu;Sim;Faltam recursos financeiros;Outros (incentivo e divulgacao de turismo rural, analise do solo, cessao de terras para o plantio, mais organizacao da cooperativa, combate as pragas, mais terra)
372;Parelheiros;Sao Paulo;Arrendatario;Sim;0,006;Nao se aplica;0,006;Nao tem;Nao tem;Sim;Sim;Nao se aplica;Sim;Nao se aplica;Nao se aplica;Nao;Nao se aplica;Folhosas, hortalicas, raizes, legumes e graos;Sem producao animal;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Sim;Nao;Nao;Nao;Nao;Sim;Nao;Nao;Nao;Nao;Nao;Pelo menos uma vez por mes;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Toda semana ou quase toda semana;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Sim;Nao;Nao;Nao;Sim;Nao;Agroquimicos;Feminino;35 a 44 anos;Ensino Medio Incompleto;Nao sabe/Nao respondeu;Nao se aplica;Todos os dias ou quase todos os dias;Sim;Agua (falta ou excesso)/ Questoes climaticas;Infraestrutura viaria, energia, telefonia, melhoria das estradas, escoamento da producao
373;Parelheiros;Sao Paulo;Posseiro;Sim;2,75;Nao se aplica;0,672;Nao tem;0,05;Sim;Sim;Sim;Sim;Sim;Sim;Nao;Nao se aplica;Folhosas, hortalicas, raizes, frutas, legumes e graos, ornamentais, ervas medicinais;Galinha, cavalos, ovos, abelha e mel;Nao se aplica;Nao se aplica;Sim;Nao se aplica;Nao se aplica;Nao se aplica;Nao;Sim;Sim;Nao se aplica;Nao se aplica;Sim;Nao;Sim;Sim;Nao;Nao;Sim;Sim;Nao;Sim;Nao;Mais ou menos uma vez a cada tres meses;Nao se aplica;Toda semana ou quase toda semana;Toda semana ou quase toda semana;Nao se aplica;Nao se aplica;Toda semana ou quase toda semana;Mais ou menos uma vez a cada tres meses;Nao se aplica;Mais ou menos uma vez a cada tres meses;Nao se aplica;Sim;Sim;Sim;Sim;Sim;Sim;Naturais/organicos;Feminino;35 a 44 anos;Ensino Medio Incompleto;1497;Nao se aplica;Todos os dias ou quase todos os dias;Sim;Faltam recursos financeiros;Mais maquinarios agricolas, caminhao e trator
374;Grajau;Sao Paulo;Posseiro;Nao;0,04;Nao se aplica;0,02;Nao tem;Nao tem;Nao;Nao;Nao;Nao;Nao se aplica;Nao;Nao se aplica;Nao se aplica;Nao comercializa;Sem producao animal;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao sabe/Nao respondeu;Nao sabe/Nao respondeu;Nao sabe/Nao respondeu;Nao sabe/Nao respondeu;Nao sabe/Nao respondeu;Nao sabe/Nao respondeu;Nao sabe/Nao respondeu;Nao sabe/Nao respondeu;Nao sabe/Nao respondeu;Nao sabe/Nao respondeu;Nao sabe/Nao respondeu;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao sabe/Nao respondeu;Nao sabe/Nao respondeu;Nao sabe/Nao respondeu;Nao;Nao;Nao;Nao realiza;Masculino;35 a 44 anos;Ensino Medio Incompleto;2495;Nao se aplica;Todos os dias ou quase todos os dias;Nao;Aquisicao de adubo, mudas e sementes, maquinario agricola, equipamentos de irrigacao;Insumos: adubo, calcario, mudas, sementes e ferramentas. Facilidade na compra e doacao por parte da prefeitura
375;Parelheiros;Sao Paulo;Proprietario;Sim;0,43;Nao se aplica;0,19;Nao tem;Nao respondeu;Sim;Sim;Nao;Nao;Sim;Nao;Nao se aplica;Nao se aplica;Folhosas, hortalicas, raizes, ornamentais ;Sem producao animal;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Sim;Sim;Nao;Nao;Nao;Nao;Nao;Nao;Nao;Nao;Nao;Toda semana ou quase toda semana;Pelo menos uma vez por mes;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Sim;Nao;Nao;Nao;Nao;Nao;Nao realiza;Feminino;45 a 59 anos;Fundamental II Incompleto;998;Nao se aplica;Todos os dias ou quase todos os dias;Sim;Aquisicao de adubo, mudas e sementes, maquinario agricola, equipamentos de irrigacao;Recursos e financiamento a juros baixos, facilitado, credito mais facil, mais investimentos publicos e mais subsidios (menos burocracia, menos impostos)
376;Marsilac;Sao Paulo;Funcionario;Nao;6;Nao se aplica;0,2;3;0,5;Nao;Nao;Nao;Nao;Nao se aplica;Nao;Nao se aplica;Nao se aplica;Nao comercializa;Bovino de leite, galinha, ovos;Nao se aplica;Nao;Nao;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao;Nao se aplica;Nao se aplica;Nao se aplica;Nao sabe/Nao respondeu;Nao sabe/Nao respondeu;Nao sabe/Nao respondeu;Nao sabe/Nao respondeu;Nao sabe/Nao respondeu;Nao sabe/Nao respondeu;Nao sabe/Nao respondeu;Nao sabe/Nao respondeu;Nao sabe/Nao respondeu;Nao sabe/Nao respondeu;Nao sabe/Nao respondeu;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao sabe/Nao respondeu;Nao sabe/Nao respondeu;Nao sabe/Nao respondeu;Nao;Nao;Nao;Naturais/organicos;Masculino;45 a 59 anos;Fundamental II Incompleto;3996,5;Nao se aplica;Todos os dias ou quase todos os dias;Sim;Problemas de saude, idade;Outros (incentivo e divulgacao de turismo rural, analise do solo, cessao de terras para o plantio, mais organizacao da cooperativa, combate as pragas, mais terra)
377;Marsilac;Sao Paulo;Proprietario;Sim;6,05;Nao se aplica;2,42;Nao tem;Nao respondeu;Sim;Sim;Nao se aplica;Sim;Nao se aplica;Sim;Nao se aplica;Nao se aplica;Folhosas, hortalicas, raizes, legumes e graos, ervas medicinais;Sem producao animal;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao;Sim;Nao;Nao;Nao;Sim;Nao;Nao;Sim;Nao;Nao;Nao se aplica;Toda semana ou quase toda semana;Nao se aplica;Nao se aplica;Nao se aplica;Toda semana ou quase toda semana;Nao se aplica;Nao se aplica;Nao sabe/Nao respondeu;Nao se aplica;Nao se aplica;Nao;Nao;Sim;Nao;Nao;Nao;Nao realiza;Masculino;25 a 34 anos;Ensino Medio Completo;Nao sabe/Nao respondeu;Nao sabe/Nao respondeu;Todos os dias ou quase todos os dias;Sim;Aquisicao de adubo, mudas e sementes, maquinario agricola, equipamentos de irrigacao;Mais maquinarios agricolas, caminhao e trator
378;Grajau;Sao Paulo;Proprietario;Sim;0,7;Nao se aplica;0,06;Nao tem;Nao tem;Nao;Nao se aplica;Nao;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao comercializa;Sem producao animal;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao sabe/Nao respondeu;Nao sabe/Nao respondeu;Nao sabe/Nao respondeu;Nao sabe/Nao respondeu;Nao sabe/Nao respondeu;Nao sabe/Nao respondeu;Nao sabe/Nao respondeu;Nao sabe/Nao respondeu;Nao sabe/Nao respondeu;Nao sabe/Nao respondeu;Nao sabe/Nao respondeu;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao sabe/Nao respondeu;Nao sabe/Nao respondeu;Nao sabe/Nao respondeu;Nao;Nao;Nao;Nao realiza;Masculino;60 anos ou mais;Fundamental I Completo;998;Nao se aplica;Nao sabe/Nao respondeu;Nao;Falta de mao de obra;Recursos e financiamento a juros baixos, facilitado, credito mais facil, mais investimentos publicos e mais subsidios (menos burocracia, menos impostos)
379;Parelheiros;Sao Paulo;Funcionario;Nao;0,37;Nao se aplica;0,2;Nao tem;0,04;Nao se aplica;Nao;Nao;Nao;Nao;Nao;Nao se aplica;Nao se aplica;Nao comercializa;Sem producao animal;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao sabe/Nao respondeu;Nao sabe/Nao respondeu;Nao sabe/Nao respondeu;Nao sabe/Nao respondeu;Nao sabe/Nao respondeu;Nao sabe/Nao respondeu;Nao sabe/Nao respondeu;Nao sabe/Nao respondeu;Nao sabe/Nao respondeu;Nao sabe/Nao respondeu;Nao sabe/Nao respondeu;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao sabe/Nao respondeu;Nao sabe/Nao respondeu;Nao sabe/Nao respondeu;Nao;Nao;Nao;Nao realiza;Feminino;60 anos ou mais;Fundamental I Completo;1497;Nao se aplica;Todos os dias ou quase todos os dias;Sim;Nao possui dificuldades/ Nao sabe/Nao respondeu;Infraestrutura viaria, energia, telefonia, melhoria das estradas, escoamento da producao
380;Parelheiros;Sao Paulo;Funcionario;Sim;0,8;Nao se aplica;0,4;Nao tem;Nao tem;Nao;Nao;Nao;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao comercializa;Galinha, ovos;Nao se aplica;Nao se aplica;Nao;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao;Nao se aplica;Nao se aplica;Nao se aplica;Nao sabe/Nao respondeu;Nao sabe/Nao respondeu;Nao sabe/Nao respondeu;Nao sabe/Nao respondeu;Nao sabe/Nao respondeu;Nao sabe/Nao respondeu;Nao sabe/Nao respondeu;Nao sabe/Nao respondeu;Nao sabe/Nao respondeu;Nao sabe/Nao respondeu;Nao sabe/Nao respondeu;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao sabe/Nao respondeu;Nao sabe/Nao respondeu;Nao sabe/Nao respondeu;Nao;Nao;Nao;Nao realiza;Masculino;25 a 34 anos;Ensino Medio Incompleto;998;Nao se aplica;Pelo menos uma vez por mes;Sim;Faltam recursos financeiros;Maior e melhor rendimento das atividades na propriedade
381;Parelheiros;Sao Paulo;Proprietario;Nao;10;Nao se aplica;1;Nao tem;Nao tem;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Sim;Nao se aplica;Nao;Nao se aplica;Ornamentais;Sem producao animal;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao;Sim;Nao;Nao;Nao;Nao;Nao;Nao;Sim;Nao;Nao;Nao se aplica;Pelo menos uma vez por mes;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Toda semana ou quase toda semana;Nao se aplica;Nao se aplica;Nao;Nao;Sim;Nao;Nao;Sim;Nao realiza;Masculino;60 anos ou mais;Ensino Superior Completo ou mais;3996,5;Nao se aplica;Pelo menos uma vez por semana;Sim;Falta de tempo, falta de coragem/ vontade;Insumos: adubo, calcario, mudas, sementes e ferramentas. Facilidade na compra e doacao por parte da prefeitura
382;Parelheiros;Sao Paulo;Posseiro;Nao;Nao sabe;Nao se aplica;Nao respondeu;Nao tem;Nao respondeu;Nao se aplica;Nao se aplica;Nao;Nao se aplica;Sim;Nao se aplica;Sim;Nao se aplica;Ornamentais ;Sem producao animal;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao;Sim;Nao;Nao;Nao;Nao;Nao;Nao;Nao;Nao;Nao;Nao se aplica;Uma vez a cada 6 meses;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Sim;Nao;Nao;Nao;Nao;Nao;Naturais/organicos;Feminino;45 a 59 anos;Fundamental I Completo;1497;Nao se aplica;Nao sabe/Nao respondeu;Sim;Problemas de saude, idade;Mais terra para plantar
383;Marsilac;Sao Paulo;Proprietario;Sim;2,6;Nao se aplica;0,1;Nao tem;Nao tem;Nao;Nao;Nao;Nao;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao comercializa;Galinha, patos, ovos;Nao se aplica;Nao se aplica;Nao;Nao;Nao se aplica;Nao se aplica;Nao se aplica;Nao;Nao se aplica;Nao se aplica;Nao se aplica;Nao sabe/Nao respondeu;Nao sabe/Nao respondeu;Nao sabe/Nao respondeu;Nao sabe/Nao respondeu;Nao sabe/Nao respondeu;Nao sabe/Nao respondeu;Nao sabe/Nao respondeu;Nao sabe/Nao respondeu;Nao sabe/Nao respondeu;Nao sabe/Nao respondeu;Nao sabe/Nao respondeu;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao sabe/Nao respondeu;Nao sabe/Nao respondeu;Nao sabe/Nao respondeu;Nao;Nao;Nao;Nao realiza;Masculino;45 a 59 anos;Ensino Medio Completo;7485;Nao se aplica;Todos os dias ou quase todos os dias;Sim;Problemas com infraestrutura, logistica de escoamento da producao;Infraestrutura viaria, energia, telefonia, melhoria das estradas, escoamento da producao
384;Grajau;Sao Paulo;Proprietario;Sim;0,5;Nao se aplica;0,5;Nao tem;Nao tem;Nao;Nao;Nao;Nao;Sim;Nao;Nao se aplica;Nao se aplica;Ornamentais;Sem producao animal;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Sim;Nao;Nao;Nao;Nao;Nao;Nao;Nao;Nao;Nao;Nao;Menos de duas vezes por ano;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Sim;Nao;Nao;Nao;Nao;Nao;Agroquimicos;Masculino;45 a 59 anos;Ensino Medio Completo;Nao sabe/Nao respondeu;Nao se aplica;Todos os dias ou quase todos os dias;Sim;Falta de tempo, falta de coragem/ vontade;Outros (incentivo e divulgacao de turismo rural, analise do solo, cessao de terras para o plantio, mais organizacao da cooperativa, combate as pragas, mais terra)
385;Grajau;Sao Paulo;Proprietario;Sim;15;Nao se aplica;5;Nao tem;Nao tem;Sim;Sim;Sim;Sim;Nao;Sim;Sim;Sim;Folhosas, hortalicas, raizes, frutas, legumes e graos, ervas medicinais, bambu;Galinha, patos, ovos;Nao se aplica;Nao se aplica;Nao;Nao;Nao se aplica;Nao se aplica;Nao se aplica;Nao;Nao se aplica;Nao se aplica;Nao se aplica;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Nao;Sim;Sim;Toda semana ou quase toda semana;Pelo menos uma vez por mes;Toda semana ou quase toda semana;Toda semana ou quase toda semana;Toda semana ou quase toda semana;Toda semana ou quase toda semana;Toda semana ou quase toda semana;Toda semana ou quase toda semana;Nao se aplica;Toda semana ou quase toda semana;Pelo menos uma vez por mes;Sim;Sim;Sim;Nao;Sim;Sim;Naturais/organicos;Masculino;60 anos ou mais;Ensino Superior Completo ou mais;Nao sabe/Nao respondeu;Nao sabe/Nao respondeu;Todos os dias ou quase todos os dias;Sim;Falta de conhecimento tecnico;Infraestrutura viaria, energia, telefonia, melhoria das estradas, escoamento da producao
386;Grajau;Sao Paulo;Funcionario;Sim;0,7;Nao se aplica;Nao respondeu;Nao tem;Nao tem;Nao;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao comercializa;Patos, suinos, ovos;Nao se aplica;Nao se aplica;Nao se aplica;Nao;Nao;Nao se aplica;Nao se aplica;Nao;Nao se aplica;Nao se aplica;Nao se aplica;Nao sabe/Nao respondeu;Nao sabe/Nao respondeu;Nao sabe/Nao respondeu;Nao sabe/Nao respondeu;Nao sabe/Nao respondeu;Nao sabe/Nao respondeu;Nao sabe/Nao respondeu;Nao sabe/Nao respondeu;Nao sabe/Nao respondeu;Nao sabe/Nao respondeu;Nao sabe/Nao respondeu;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao sabe/Nao respondeu;Nao sabe/Nao respondeu;Nao sabe/Nao respondeu;Nao;Nao;Nao;Nao realiza;Masculino;60 anos ou mais;Ate Fundamental I Incompleto;998;Nao se aplica;Nao sabe/Nao respondeu;Nao;Nao possui dificuldades/ Nao sabe/Nao respondeu;Nao sabe/Nao respondeu/ Nao possui demandas
